rank|album_id|song_id|song_title|artist_name|artist_id
1|405351|1951550|붉은 노을|BIGBANG (빅뱅)|198094
2|412157|1958819|총맞은것처럼|백지영|1118
3|399175|1941619|어제보다 오늘 더|김종국|1692
4|398026|1929329|Nobody|원더걸스|217764
5|400252|1945868|My Style (Hidden Track)|브라운아이드걸스|181694
6|398518|1935599|Love Story|비|17671
7|398518|1939100|Rainism (Clean Ver.)|비|17671
8|397434|1927248|어쩌다|브라운아이드걸스|181694
9|397972|1928828|주문-MIROTIC (Clean Ver.)|동방신기 (TVXQ!)|108316
10|397892|1928044|미쳤어 (Feat. 에릭)|손담비|226582
11|398350|1932604|1분 1초 (Feat. 타루)|에픽하이 (EPIK HIGH)|108356
12|397893|1928055|들리나요...|태연 (TAEYEON)|236797
13|397893|1928051|내사람|환희|1928
14|412159|1958834|이런 여자|이수영|995
15|392870|1913501|하루 하루|BIGBANG (빅뱅)|198094
16|399300|1943049|별이 지다..|휘성 (Realslow)|10577
17|397434|1926582|You|브라운아이드걸스|181694
18|399019|1940012|병원에 가다 (이별..) (Song By 민경)|다비치|236815
19|392870|1913502|천국|BIGBANG (빅뱅)|198094
20|398724|1936789|It's Okay (Feat. 화요비) ('우리 결혼했어요' 화요비 테마곡)|언터쳐블|190493
21|393053|1914864|사랑이 그렇게 쉬워 (Feat. 태인)|나몰라패밀리 (Namolla Family)|194009
22|398227|1931407|Hot Girl|씨야|181679
23|399303|1943071|아.미.고 (Amigo)|SHINee (샤이니)|247639
24|398337|1932515|눈물은 모르게|엠씨더맥스 (M.C the MAX)|161636
25|398407|1933313|Fly Boy|크라운제이 (CROWN J)|182206
26|399181|1941712|Eat You Up|보아 (BoA)|2165
27|410352|1959553|기적 같은 이야기|테이|51893
28|415251|1961948|Anybody (Feat. Dynamic Duo, SAN E, J.Y. Park)|원더걸스|217764
29|399139|1941314|No Break|박정현|1099
30|405351|1951553|Wonderful|BIGBANG (빅뱅)|198094
31|407151|1953349|Dangerous|은지원|1682
32|396131|1921365|10점 만점에 10점|2PM|259822
33|403751|1949849|약속 (Duet With 윤하)|김동완|1743
34|410355|1956876|Gone (Feat. 주희 Of 에이트)|다이나믹 듀오|108358
35|393851|1916349|슬픔활용법|김범수|6502
36|389351|1901874|이노래|2am|253866
37|410151|1956654|널 사랑하지 않았어...|타이푼|186309
38|389651|1903057|Hey Mr. Big|이효리|1713
39|398665|1936134|환상의 짝꿍 (Feat. 예은 Of 원더걸스)|H-유진|198032
40|389107|1902384|사랑해 미안해|지아|227595
41|398679|1936243|Number 1|BIGBANG (빅뱅)|198094
42|394954|1918284|사랑후애 (僞愛)|FTISLAND (FT아일랜드)|226490
43|396351|1923548|Never Say Goodbye|먼데이 키즈 (Monday Kiz)|175155
44|392870|1913503|착한 사람|BIGBANG (빅뱅)|198094
45|400053|1945479|사랑은 없다|구피|100023
46|398063|1929843|남자를 믿지마 (Feat. Big Tone)|이민우 (M)|1742
47|399300|1943048|완벽한 남자|휘성 (Realslow)|10577
48|389651|1903050|U-Go-Girl (With 낯선)|이효리|1713
49|406751|1952948|병원에 가다|미루 (MIRU)|267766
50|388456|1897011|사랑과 전쟁 (Narr. 하하)|다비치|236815
