rank|album_id|song_id|song_title|artist_name|artist_id
1|1254063|3373007|Don't Cry|박봄 (Park Bom)|439341
2|1248368|3366160|피노키오 (Danger)|f(x)|428501
3|1236055|3349297|LOVE SONG|BIGBANG (빅뱅)|198094
4|1235959|3349210|거울아 거울아|4minute|417985
5|1238353|3352959|To Me (내게로..)|레인보우|440320
6|1228854|3337773|제발|김범수|6502
7|1211952|3319849|반짝반짝|걸스데이|482762
8|1195654|3169779|직감|CNBLUE (씨엔블루)|450801
9|1231074|3341087|방콕시티 (Bangkok City)|오렌지 캬라멜|477632
10|1228561|3337496|아파 아이야|양파|3854
11|1229964|3339283|Heart To Heart|4minute|417985
12|1236055|3354527|STUPID LIAR|BIGBANG (빅뱅)|198094
13|1247357|3364512|들리나요|지아|227595
14|1197653|3172166|가슴이 뛴다|케이윌|175139
15|1234954|3348066|너 밖엔 없더라|김그림|499462
16|1199451|3174148|가슴 시린 이야기 (Feat. 용준형 Of Beast)|휘성 (Realslow)|10577
17|1190551|3164048|미친거니 (Feat. 방용국)|송지은|446200
18|1199852|3339079|메아리|김태우|182430
19|1247356|3364510|배가 불렀지 (Feat. GaeKo of DYNAMIC DUO)|Supreme Team|410162
20|1250061|3367917|슈루룹|먼데이 키즈 (Monday Kiz)|175155
21|1258151|3379048|Love Girl (New Ver.)|CNBLUE (씨엔블루)|450801
22|1229751|3338948|La Vida Loca (라 비다 로카)|클로버|529805
23|1253852|3372889|애정만세|가비엔제이|174997
24|1228752|3337651|이태원 프리덤 (With JYP)|유브이 (UV)|467060
25|1257552|3378450|가면 안돼|San E (산이)|402526
26|1184151|3156950|TONIGHT|BIGBANG (빅뱅)|198094
27|1238759|3353418|핑크 로켓 (Pink Rocket)|달샤벳|514619
28|1168952|3138749|내꺼중에 최고|이현|429480
29|1258257|3379391|Shampoo|애프터스쿨|322666
30|1238354|3352964|다며 (Feat. 마이티 마우스)|이현|429480
31|1173161|3143550|나만 몰랐던 이야기|아이유|261143
32|1184151|3156953|CAFE|BIGBANG (빅뱅)|198094
33|1246270|3367970|몰라요|Apink (에이핑크)|534360
34|1250662|3369334|너의 마음을 내게 준다면|걸스데이|482762
35|1237466|3352068|아나요|브레이브걸스|531700
36|1143954|3111583|Black & White|지나|482640
37|1231962|3343337|Broken|서인국|436700
38|1228854|3337772|You Are My Lady|김건모|889
39|1143054|3110565|톡톡 (Tok Tok) (Feat. SOYA)|마이티 마우스|239366
40|1218952|3327061|아무일도 없었다|정엽|265067
41|1231054|3340976|0330|유키스|259928
42|1251551|3370448|우리 여기까지 하자|이석훈|205858
43|1184151|3156952|WHAT IS RIGHT|BIGBANG (빅뱅)|198094
44|1256554|3376677|Abandoned (Feat. Dok2)|박재범|443420
45|1257251|3378048|촌스럽고 유치하게|이루|173424
46|1242652|3357851|사랑했나봐|장혜진|5675
47|1244757|3360493|Talk Talk Talk|NS 윤지|433746
48|1216951|3325048|나 항상 그대를 (With YB)|윤도현|923
49|1093562|3051244|좋은 날|아이유|261143
50|1251251|3370148|당신께 이노래를 불러 드릴께요 2|태사비애|229242
