rank|album_id|song_id|song_title|artist_name|artist_id
52|1179761|3151428|누구보다 널 사랑해|디셈버|439021
53|1180761|3152817|다시|엠블랙|436980
54|1186967|3160020|별 (Feat. JD)|프리스타일|100144
55|1130759|3096032|그남자|현빈|57798
56|1085053|3037051|니까짓게|씨스타|473181
57|1203351|3272548|잊을만도 한데|서영은|3033
58|1187853|3168671|oH! aH!|김형준|759
60|1205151|3287401|봄처럼|김보경 (NEON)|60829
61|1190652|3164162|언제나 사랑해 (DK Ver.)|DK(디셈버)|524801
62|1175152|3145650|너 말이야|F-ve Dolls|520160
64|1197653|3173219|입이 떨어지지 않아서|케이윌|175139
65|1160451|3129348|못 잊은 거죠 (If)|박진영|1130
66|1150052|3118474|내겐 너무 멋진 그대|씨야|181679
67|1199753|3174455|내 사랑|M4|458940
68|1026554|2944372|Yolanda Be Cool|Dcup|498561
69|1200556|3175334|Here I Am|제국의아이들 (ZE:A)|449941
70|1211952|3319849|반짝반짝|걸스데이|482762
71|1141557|3108907|비밀 (Special Vocal. 박완규)|부활|100594
72|1125352|3099149|Stay|엠블랙|436980
73|1139651|3106048|눈물자리|오스카|517301
74|1199451|3271752|설마|휘성 (Realslow)|10577
75|1183654|3156359|언제나 사랑해|제이세라|484881
76|1170953|3140867|My Valentine (Feat. 박진영)|택연|514740
77|1169455|3139172|Lady Gaga||253688
78|1196551|3170748|본능적으로 Remix (With 윤종신, 태양)|스윙스|236970
79|1192157|3165795|점점더 (Feat. 가비엔제이 - 미스티)|소울다이브|433162
80|1171355|3141291|You Are My Everything|플라워|100391
81|1093562|3053253|이게 아닌데|아이유|261143
82|1166352|3135864|그 남자는 반대|달마시안 (DMTN)|494501
83|1135052|3100891|Avril Lavigne||30023
84|1132551|3098048|Maybe|선예|227506
85|1100004|3059926|사랑해요 (I Love You)|태연 (TAEYEON)|236797
86|1166951|3136448|뷰티풀 걸 (Feat. 일렉트로 보이즈)|티아라|412000
87|1125854|3089992|나쁜 남자|JOO|232696
88|1180051|3151848|미쳐|엠투엠 (M To M)|108581
89|1163755|3132763|눈물을 움켜쥐고|장혜진|5675
90|1124351|3088248|드림하이|택연|514740
91|1199651|3174348|Nothing's Over|인피니트|476181
92|1135451|3101348|라떼 한잔 (Feat.길미)|가비엔제이|174997
93|1099988|3059678|사랑이 고프다 (I Promise You)|박효신|1191
94|1158953|3132906|사랑은 왜|이정(J.Lee)|39256
95|1187256|3160388|Jessie J||510556
96|1161052|3129966|Jessie J||510556
97|1197153|3171457|Can You Hear Me?|이해리 (다비치)|259769
98|1085056|3037107|똑같다면|브라운 아이드 소울|107728
99|1165851|3135248|헤어진 두사람 (Feat. 태인)|나몰라패밀리JW|520600
100|1077154|3026178|행복한 나를 (Feat. 존박)|허각|28801
