rank|album_id|song_id|song_title|artist_name|artist_id
1|2268221|4756304|Touch My Body|씨스타|473181
2|2260223|4681146|한여름밤의 꿀|San E (산이)|402526
3|2271317|4785453|Body Language (Feat. 범키)|San E (산이)|402526
4|2265934|4734486|Darling|걸스데이|482762
5|2250057|4764928|HER|블락비 (Block B)|532201
6|2269895|4771771|빨개요|현아|449401
7|2259140|4671151|눈, 코, 입|태양|247621
8|2261569|4693165|단발머리 (Short Hair)|AOA|686920
9|2267478|4749449|명수네 떡볶이 (Feat. 김예림, UL)|박명수|4263
10|2250057|4591400|JACKPOT|블락비 (Block B)|532201
11|2264792|4723861|이제 그만 싸우자|허각|28801
12|2270673|4779294|괜찮아 사랑이야|다비치|236815
13|2262912|4706174|오늘부터 1일 (Day 1)|케이윌|175139
14|2271880|4789747|예뻐졌다 (Feat. 지코 Of Block B)|박보람|499464
15|2258044|4660909|사람냄새|정인|35989
16|2272322|4793898|잠 못드는 밤 (Feat. 펀치 (Punch))|Crush|674710
17|2263452|4711007|애타는 마음|울랄라세션|569214
18|2261073|4688375|Maroon 5||107721
19|2256290|4646573|너의 의미 (Feat. 김창완)|아이유|261143
20|2265100|4734489|I'm In Love|에일리(Ailee)|629831
21|2268235|4756411|Back|인피니트|476181
22|2258516|4665220|나 왜이래 (Feat. 강민희 Of 미스에스)|San E (산이)|402526
23|2267692|4751624|전화번호 (Feat. 버벌진트, 40)|스윙스|236970
24|2263475|4711065|우산|윤하 (YOUNHA)|203912
25|2268823|4762446|최고의 행운|첸 (CHEN)|715176
26|2270252|4774996|행복 (Happiness)|Red Velvet (레드벨벳)|780066
27|2263804|4714217|하늘색 약속|god|100007
28|2249449|4586092|너 사용법|에디킴|601979
29|2255589|4639518|너를 너를 너를|플라이 투 더 스카이|100183
30|2268221|4756305|나쁜손 (Feat. 버벌진트) (Naughty Hands)|씨스타|473181
31|2267461|4749304|AEAO|다이나믹 듀오|108358
32|2230890|4433490|썸 (Feat. 릴보이 Of 긱스)|소유 (SOYOU)|490981
33|2244822|4543502|야생화|박효신|1191
34|2264531|4721314|Red Light|f(x)|428501
35|2260842|4686392|Good Luck|비스트|436981
36|2246854|4562881|Mr. Chu (On Stage)|Apink (에이핑크)|534360
37|2271694|4788387|Pool Party (Feat. 윤종신, 임슬옹, G.NA)|스윙스|236970
38|2261347|4691278|Mr.애매모호|마마무 (Mamamoo)|750053
39|2248659|4579468|봄 사랑 벚꽃 말고|HIGH4 (하이포)|767374
40|2273085|4800614|BE I|B.I|742760
41|2267501|4749620|How Do I Look ?|빈지노 (Beenzino)|532029
42|2256290|4645220|나의 옛날이야기|아이유|261143
43|2272303|4793764|OLL' Ready|올티 (Olltii)|669972
44|2222587|4369827|금요일에 만나요 (Feat. 장이정 Of HISTORY)|아이유|261143
45|2254734|4633162|중독 (Overdose)|EXO-K|625511
46|2251373|4603433|너를 원해 (Feat. Beenzino)|정기고|304967
47|2264632|4722450|고백했는데|Bro|764630
48|2259461|4674167|헤어졌다 만났다|다비치|236815
49|2270960|4782193|Ain't Nobody|핫펠트 (HA:TFELT)|602471
50|2266832|4743081|SOLO DAY|B1A4|535440
