rank|album_id|song_id|song_title|artist_name|artist_id
51|2089047|3726617|자니 (Feat. Dynamic Duo)|프라이머리|35682
52|2240582|4507664|약속|김수현|8433
53|2202410|4252728|처음엔 사랑이란게|버스커 버스커|569233
54|2236445|4478194|Baby I Miss You|2NE1|406712
55|2222076|4366156|Dali, Van, Picasso|빈지노 (Beenzino)|532029
56|2225293|4389942|"Love Is an Open Door (From ""Frozen""/Soundtrack Version)"|Kristen Bell|746208
57|2218690|4340421|Special Love|휘성 (Realslow)|10577
58|2239090|4496046|잊고 있는중 (Ing)|DK(디셈버)|524801
59|2218964|4342054|이별남녀|서인국|436700
60|2215345|4312933|향기만 남아|허각|28801
61|1000465|2903041|결혼까지 생각했어|휘성 (Realslow)|10577
62|2195303|4193337|으르렁 (Growl)|EXO|724619
63|2228827|4418413|You Don't Love Me|스피카|615471
64|2224057|4381721|그때 우리|엠씨더맥스 (M.C the MAX)|161636
65|2229427|4423574|나성에 가면|심은경|24809
66|2235426|4471543|Goodbye|소녀시대 (GIRLS' GENERATION)|228069
67|2227065|4402769|내 생각날 거야 (Narr. 이시영)|거미 (GUMMY)|30358
68|2213824|4300699|너에게|성시경|3305
69|1302654|3436083|끝사랑|김범수|6502
70|2227348|4404589|Cha Cha|레인보우 블랙|750398
71|2222342|4367874|너를|브라운 아이드 소울|107728
72|2233451|4454340|뛰뛰빵빵|비투비|647971
73|2229193|4421555|1004 (Angel)|B.A.P|623451
74|2221564|4362019|너에게만|범키|623851
75|2199192|4232200|삐딱하게 (Crooked)|G-DRAGON|6984
76|2217249|4328659|그리워해요|2NE1|406712
77|2233196|4452405|Pass Me By|브라운 아이드 소울|107728
78|2231762|4440763|"Let It Go (From ""Frozen"")"|효린|573812
79|2217251|4333566|너 밖에 몰라 (One Way Love)|효린|573812
80|2225293|4389941|"For the First Time in Forever (From ""Frozen""/Soundtrack Version)"|Kristen Bell|746208
81|2225857|4393317|Good Morning Baby|Apink (에이핑크)|534360
82|2217261|4328770|이별식탁 (Feat. 산체스 Of 팬텀)|San E (산이)|402526
83|2238706|4493464|뒤에서 안아줘|린|8530
84|2213351|4296990|눈물이 맘을 훔쳐서|에일리(Ailee)|629831
85|2226535|4398445|별에서 온 그대|윤하 (YOUNHA)|203912
86|2241113|4511737|뷰티풀 (With 에일리)|이천원|718039
87|2236445|4478195|Come Back Home (Unplugged Ver.)|2NE1|406712
88|2235426|4471545|Wait A Minute|소녀시대 (GIRLS' GENERATION)|228069
89|2225094|4388691|B.B.B (Big Baby Baby)|달샤벳|514619
90|2232533|4446749|Beep|박지윤|1121
91|2235224|4470215|The Day|지아|227595
92|2239750|4501266|그린라이트 (Feat. 앤드류 최)|주석|4326
93|2233454|4454364|윤민수(바이브)||151315
94|2236865|4481273|고백|스탠딩 에그|467880
95|2238198|4490151|L.O.V.E|양파|3854
96|2236088|4476043|이겨낼거야 2 (Feat. GRAY)|스윙스|236970
97|2239474|4498906|거짓말 (Lie)|이지영 (빅마마)|466422
98|2239435|4498637|너에게 주고 싶은 세 가지 (Feat. 소진 Of 걸스데이)|크루셜스타 (CRUCiAL STAR)|454001
99|2238887|4494620|하나둘셋넷|The One (더원)|160816
100|2238519|4492324|사랑해요|허공|529400
