rank|album_id|song_id|song_title|artist_name|artist_id
51|10346650|32183386|Blueming|아이유|261143
52|10872409|34662306|아주, 천천히|비비 (BIBI)|2403002
53|10804190|34373632|서랍|10CM|468244
54|1286252|3414749|내 손을 잡아|아이유|261143
55|10637411|33623210|Bad Habits|Ed Sheeran|549800
56|10889476|34748459|꽃 (With 김민석 of 멜로망스)|박봄 (Park Bom)|439341
57|10843164|34540831|Can't Control Myself|태연 (TAEYEON)|236797
58|10611845|33503722|헤픈 우연|헤이즈 (Heize)|751611
59|10518234|33061995|밤하늘의 별을(2020)|경서|994005
60|10037969|30244931|봄날|방탄소년단|672375
61|10601149|33448767|문득|BE'O (비오)|2758756
62|10149492|30962526|모든 날, 모든 순간 (Every day, Every Moment)|폴킴|752425
63|10895123|34774431|벚꽃이 피면 우리 그만 헤어져|벤|655051
64|10901248|34808386|Real Love|오마이걸 (OH MY GIRL)|857994
65|10695590|33868791|고백|멜로망스|839732
66|2232505|4446485|너의 모든 순간|성시경|3305
67|10661658|33725775|낙하 (with 아이유)|AKMU (악뮤)|712452
68|10580103|33359309|Off My Face|Justin Bieber|420621
69|10720913|33998510|My Universe|Coldplay|100260
70|10331947|32061975|어떻게 이별까지 사랑하겠어, 널 사랑하는 거지|AKMU (악뮤)|712452
71|10810337|34399272|우리가 헤어져야 했던 이유|비비 (BIBI)|2403002
72|10614238|33514925|다시 사랑한다면 (김필 Ver.)|임영웅|994944
73|10604729|33464805|Dun Dun Dance|오마이걸 (OH MY GIRL)|857994
74|10043575|30287019|롤린 (Rollin')|브레이브걸스|531700
75|10879335|34694005|손을 잡는다거나, 같이 걷는다거나|적재|771375
76|10823566|34461065|Christmas Tree|V|725989
77|2076213|3699046|Stronger (What Doesn't Kill You)|Kelly Clarkson|36329
78|10809753|34397419|흰눈|먼데이 키즈 (Monday Kiz)|175155
79|10894694|34773088|DAYDREAM|하이라이트 (HIGHLIGHT)|1624993
80|10862733|34622559|잊을 수 있을까|노을|105623
81|10556610|33248758|추억은 만남보다 이별에 남아|정동하|181188
82|10294603|31853557|오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)|마크툽 (MAKTUB)|566431
83|10901349|34808767|북극성 (Never Goodbye)|NCT DREAM|1066419
84|10644845|33652821|그대라는 사치|임영웅|994944
85|10831160|34495462|언덕나무|이승윤|723192
86|10897407|34787226|내가 아니라도|주호|683631
87|10893566|34768543|늦은 후회|조현아 (어반자카파)|641331
88|10463600|32794652|취기를 빌려 (취향저격 그녀 X 산들)|산들|672392
89|10873531|34667573|노래 (The Song)|비투비|647971
90|10540298|33167063|밝게 빛나는 별이 되어 비춰줄게|송이한|2189536
91|10633915|33606505|잊었니|임영웅|994944
92|2210557|4276080|스물다섯, 스물하나|자우림|100094
93|10802694|34366006|네가 없는 밤 (Feat. ASH ISLAND) (Prod. GRAY)|BE'O (비오)|2758756
94|10856183|34592758|너 아니면 안돼|먼데이 키즈 (Monday Kiz)|175155
95|10273641|31737197|작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)|방탄소년단|672375
96|10876078|34677112|O.O|NMIXX|3070786
97|10575005|33337651|별빛 같은 나의 사랑아|임영웅|994944
98|2248659|4579468|봄 사랑 벚꽃 말고|HIGH4 (하이포)|767374
99|2097226|3753304|벚꽃 엔딩|버스커 버스커|569233
100|10765081|34215821|Wake Up (Prod. 코드 쿤스트)|개코|3264
