rank|album_id|song_id|song_title|artist_name|artist_id
51|10298832|31877297|Señorita|Shawn Mendes|776533
52|10283614|31788850|니 소식|송하예|722098
53|10353881|32187544|우리 왜 헤어져야 해|신예영|2740042
54|10351268|32171791|이 번호로 전화해줘|바이브|160080
55|10344095|32128104|인기 (Feat. 송가인, 챈슬러)|MC몽|11538
56|10375675|32315692|너의 하루는 좀 어때|거미 (GUMMY)|30358
57|10309213|31938460|그대라는 시|태연 (TAEYEON)|236797
58|10369319|32280012|노을|다비치|236815
59|10385597|32362644|Birthday|Anne-Marie|870307
60|10344534|32130396|불티 (Spark)|태연 (TAEYEON)|236797
61|10252905|31621518|comethru|Jeremy Zucker|1758307
62|10327581|32038651|워커홀릭|볼빨간사춘기|792022
63|10359390|32225055|잘 살고 있다|V.O.S|108794
64|10350708|32168238|차가워진 이 바람엔 우리가 써있어 (Bad Love)|HYNN (박혜원)|1229685
65|2676167|8119658|꿈속에 너 (Feat. 전상근)|에이치코드 (H:CODE)|946910
66|10265079|31688205|사계 (Four Seasons)|태연 (TAEYEON)|236797
67|10382988|32347747|나의 모든 날|김세정|968261
68|10361322|32235310|십이월 이십오일의 고백|정승환|792091
69|10273641|31737199|Make It Right|방탄소년단|672375
70|10352538|32180635|ROXANNE|Arizona Zervas|2754967
71|10376260|32318751|내게 들려주고 싶은 말 (Dear Me)|태연 (TAEYEON)|236797
72|10297571|31870517|술이 문제야|장혜진|5675
73|10260858|31666417|주저하는 연인들을 위해|잔나비|772253
74|10346650|32182535|시간의 바깥|아이유|261143
75|10335107|32077651|Know Me Too Well|New Hope Club|1705084
76|10273641|31737202|Dionysus|방탄소년단|672375
77|10376234|32318549|하루에도 열두 번|윤건|14801
78|10379389|32333475|버릇처럼 셋을 센다|KCM|45995
79|10325945|32031043|가을밤 떠난 너|케이시 (Kassy)|858125
80|10377809|32325829|Go away go away|찬열 (CHANYEOL)|672857
81|10331167|32057802|Feel Special|TWICE (트와이스)|905701
82|10325421|32028531|헤어지자 (Prod. 정키)|휘인 (Whee In)|756533
83|10286309|31804010|너에게 못했던 내 마지막 말은|다비치|236815
84|10357878|32217921|Obsession|EXO|724619
85|10309152|31938046|나의 어깨에 기대어요|10CM|468244
86|10377808|32325827|내가 많이 사랑해요|이승철|1010
87|10345742|32136650|영화 속에 나오는 주인공처럼|펀치 (Punch)|749640
88|10279656|31768993|Painkiller|Ruel|1438336
89|10335933|32081871|허전해|폴킴|752425
90|10343701|32125782|LION|(여자)아이들|2137482
91|10376787|32321303|이 노랜 꽤 오래된 거야 (A song from the past)|솔라 (마마무)|756530
92|10237420|31524320|그때가 좋았어|케이시 (Kassy)|858125
93|10383590|32351139|교차로 (Crossroads)|여자친구 (GFRIEND)|828478
94|10371527|32291102|Yummy|Justin Bieber|420621
95|10379033|32331742|신촌에 왔어|가비엔제이|174997
96|10383155|32348835|안녕|김재환|945663
97|10288448|31815967|"Speechless (Full) (From ""Aladdin""/Soundtrack Version)"|Naomi Scott|541364
98|10352535|32180594|"Show Yourself (From ""Frozen 2""/Soundtrack Version)"|Idina Menzel|232538
99|10381712|32345931|시작|가호 (Gaho)|13494
100|10362285|32240554|첫 겨울이니까|성시경|3305
