rank|album_id|song_id|song_title|artist_name|artist_id
1|2212999|4294284|내일은 없어|트러블메이커|591031
2|2211402|4282710|미스터리 (Feat. San E)|박지윤|1121
3|2211378|4282578|촌스럽게 왜 이래 (You Don't Know Love)|케이윌|175139
4|2208448|4268435|분홍신|아이유|261143
5|2202410|4252728|처음엔 사랑이란게|버스커 버스커|569233
6|2201988|4249547|나란놈이란|임창정|1142
7|2200521|4237755|착해 빠졌어 (Stupid In Love)|소유 (SOYOU)|490981
8|2199192|4232200|삐딱하게 (Crooked)|G-DRAGON|6984
9|2213566|4298535|Always be there|브라운 아이드 소울|107728
10|2214116|4302975|I Got C (Feat. 개코 Of 다이나믹 듀오)|거머리 (박명수 & 프라이머리)|743565
11|2213351|4296990|눈물이 맘을 훔쳐서|에일리(Ailee)|629831
12|2214116|4302973|해볼라고|형용돈죵 (정형돈 & G-DRAGON)|743563
13|2209941|4271833|넘버나인 (No.9)|티아라|412000
14|2202410|4252726|잘할 걸|버스커 버스커|569233
15|2198610|4221128|Touch Love|윤미래|1654
16|2213824|4300699|너에게|성시경|3305
17|2214116|4302974|Please Don't Go My Girl (Feat. 김조한)|하우두유둘 (유재석 & 유희열)|743564
18|2212405|4289386|Moment|이창민|443620
19|2203531|4271854|이별 10분 전|정준영|25869
20|2199646|4230002|예뻐 예뻐|레이디스 코드|718807
21|2201942|4262252|Very Good|블락비 (Block B)|532201
22|2202410|4252727|사랑은 타이밍|버스커 버스커|569233
23|2195303|4193337|으르렁 (Growl)|EXO|724619
24|2214116|4302976|오빠라고 불러다오|장미하관 (노홍철 & 장미여관)|743566
25|2212123|4287434|거꾸로 걷는다|어반자카파|420527
26|2213020|4294468|가시사랑|포맨 (4MEN)|100176
27|2211932|4286274|말만해 (What You Want) (Feat. 김성규)|칸토|688051
28|2214116|4302972|사라질것들 (Feat. 이소라, Beenzino)|병살 (정준하 & 김C)|743562
29|2210329|4274230|Everybody|SHINee (샤이니)|247639
30|2210963|4279327|유후(U Who?) (Feat. San E)|유승우|699637
31|2199192|4226211|니가 뭔데 (Who You?)|G-DRAGON|6984
32|2208448|4268433|누구나 비밀은 있다 (Feat. 가인 Of Brown Eyed Girls)|아이유|261143
33|2165918|3953196|만약에 말야 (전우성 Solo)|노을|105623
34|2182180|4092360|봉숙이|장미여관|578231
35|2213033|4294561|Go Up (Team A)|WIN|742726
36|2195252|4192787|아는사람 얘기|San E (산이)|402526
37|2210534|4275833|김진호 (SG워너비)||259768
38|2089047|3726617|자니 (Feat. Dynamic Duo)|프라이머리|35682
39|2214116|4302979|그래, 우리 함께|무한도전|209787
40|2199192|4226210|Black (Feat. 제니 of BLACKPINK)|G-DRAGON|6984
41|2196906|4205993|갖고놀래 (Feat. 다이나믹 듀오)|범키|623851
42|2214116|4302978|G.A.B|G.A.B (길 & BoA)|743568
43|2214116|4302977|슈퍼잡초맨|세븐티핑거스 (하하 & 장기하와 얼굴들)|743567
44|2203948|4262132|불치병 (Feat. 키비 Of 이루펀트)|나비 (Navi)|242868
45|2211378|4282579|니가 아닌 것 같아 (It's Not You)|케이윌|175139
46|2191397|4163116|NoNoNo|Apink (에이핑크)|534360
47|2202410|4252730|그대 입술이 (With 채지연 - 풋풋)|버스커 버스커|569233
48|2202410|4252729|시원한 여자|버스커 버스커|569233
49|2161126|3948908|씨스루 (Feat. Zion.T, 개코 Of 다이나믹듀오)|프라이머리|35682
50|2197684|4212782|미치게 만들어|효린|573812
