rank|album_id|song_id|song_title|artist_name|artist_id
1|2058067|3663978|Lovey-Dovey|티아라|412000
2|2058415|3665143|거기서거기 (Without You)|다이나믹 듀오|108358
3|2060806|3669413|키 큰 노총각 이야기|정준하|229115
4|2059186|3666573|애상|10CM|468244
5|2043387|3630755|Trouble Maker|트러블메이커|591031
6|2040666|3625504|너랑 나|아이유|261143
7|2053887|3654576|우리 사랑했잖아|다비치|236815
8|2064311|3675692|베짱이 찬가|써니힐|229494
9|2033270|3607859|Cry Cry|티아라|412000
10|2046966|3639713|그 노래를 틀때마다|허각|28801
11|2058166|3669673|전쟁이야|엠블랙|436980
12|2024088|3585793|그리워 그리워|노을|105623
13|2059007|3666277|미치겠어|틴탑|483581
14|2060806|3669418|더위 먹은 갈매기 (Feat. 송은이, 김숙)|유재석|9842
15|2054891|3656320|속상해서 (술 한잔 해요 Part.2)|지아|227595
16|2044412|3633511|살기 위해서|노을|105623
17|2061087|3669897|Like You (Feat. 아이유)|원티드|55255
18|308473|971441|광대 (Feat. B.M.K)|리쌍|103289
19|2030418|3600223|Be My Baby|원더걸스|217764
20|2065906|3678813|시간을 거슬러|린|8530
21|2063807|3674655|The DJ Is Mine|원더걸스|217764
22|2026966|3593455|서쪽 하늘|울랄라세션|569214
23|2067506|3681993|널 사랑하겠어|효린|573812
24|2060806|3669416|바보에게 바보가 (Feat. 스컬)|하하|35007
25|2034566|3611633|Ma Boy 2 (Feat. 효린)|일렉트로보이즈|475721
26|2057366|3662813|너니까|이현|429480
27|2031086|3602154|죽고 싶단 말 밖에|허각|28801
28|2060806|3669415|삼바의 매력 (Feat. 개리, 정인)|길|410161
29|2037666|3618293|My My|Apink (에이핑크)|534360
30|2025499|3590149|그 남자 그 여자|포맨 (4MEN)|100176
31|2048291|3642699|촌스럽게 굴지마 (Feat. 용준형)|알리 (ALi)|312266
32|2063107|3673495|사랑시 고백구 행복동|제이세라|484881
33|2060806|3669417|영계백숙 (Feat. 뮤지컬 & 앙상블 13인)|정형돈|39333
34|1173053|3143265|Rolling in the Deep|Adele|241925
35|2062567|3672259|뉴스 (News)|나인뮤지스|465680
36|2059827|3667495|예쁜게 다니|살찐고양이|567391
37|2040666|3628477|비밀|아이유|261143
38|2036032|3614345|서울사람들|버스커 버스커|569233
39|2060806|3669419|광대 (Feat. 김범수)|박명수|4263
40|2040666|3628515|삼촌 (Feat. 이적)|아이유|261143
41|2065367|3678008|Only U (Feat. 동해 Of 슈퍼주니어)|애즈원|100093
42|1165751|3135148|LMFAO||331467
43|2017426|3565193|The Boys|소녀시대 (GIRLS' GENERATION)|228069
44|2063369|3673830|호이 호이 (Hoi Hoi)|레인보우 픽시|614911
45|2066768|3680465|그녀는 바람둥이야 (Feat. 동우 Of 인피니트)|이수정|586498
46|2054326|3655193|꽃보다 그대가 (Feat. Simon D)|영준|45162
47|2058166|3664053|낙서|엠블랙|436980
48|2065246|3677753|실화 (원곡가수 린)|소피야 (Sophiya)|620773
49|1317394|3457091|Maroon 5||107721
50|2058986|3666254|마녀가 된 이유|NS 윤지|433746
