rank|album_id|song_id|song_title|artist_name|artist_id
1|2327|19091|미안해요|김건모|889
2|2393|19807|벌써 일년|브라운 아이즈|100742
3|2408|20226|난 여자가 있는데 (CF - 컴팩 프리자리오)|박진영|1130
4|2343|18357|좋은 사람 (Feat. 김형중)|토이 (Toy)|100014
5|2138|8290|처음처럼|성시경|3305
6|2483|21746|빛|제이|1203
7|348459|1606519|Love Is (Dance Mega Mix Ver.)|터보|100059
8|2391|19776|추락|백지영|1118
9|2138|8302|내게 오는 길|성시경|3305
10|2472|20951|Crying|플라워|100391
11|4733|104868|아름다운 날들|장혜진|5675
12|2145|8274|Je T'aime|해이|3310
13|1111|10837|동경|박효신|1191
14|3850|78002|하나의 사랑|박상민|956
15|2463|20885|Game Over|베이비 복스|100032
16|5342|90434|사랑하니까|문차일드|100185
17|7975|53615|사랑일뿐야|김민우|699
18|2369|19571|축복|강성훈|1677
19|2585|24290|Hey, Come On !|신화|100078
20|2461|21360|밤이 깊었네|크라잉넛 (CRYING NUT)|100766
21|2473|20966|비(悲)|엔알지 (NRG)|100010
22|721|10398|하루|김범수|6502
23|2137|8305|편지 (Original Ver.)|최재훈|1087
24|2106|7650|백전무패 (百戰無敗)|클릭비 (Click-B)|100070
25|1864|2530|첨이야|홍경민|891
26|1923|5119|Oh! My Boy|샤크라|100068
27|981|62176|끝|싸이 (PSY)|3865
28|2651|24105|Jumpo Mambo|쿨 (COOL)|100004
29|5385|90478|바람난 남자|스페이스 에이|100063
30|903151|2696149|그녀의 집앞에서 (Feat. 양해중)|내추럴 플러스|100513
31|3278|33026|Good Life|드렁큰 타이거|100027
32|34771|526821|결혼해줘|임창정|1142
33|5352|90784|백일기도|샵|100127
34|2043|6855|I' ll Be There|이브|100126
35|7333|89900|Get Away|A-TOM|100738
36|2102|7712|당신은 모르실거야 (CF - LIG 핑클편)|핑클 (Fin.K.L)|100065
37|1593|11109|팔짜|더 자두|100445
38|344055|1564069|스치듯 안녕|이수영|995
39|1865|19175|고백|이승철|1010
40|4643|68576|나의 노래|이현우|1176
41|319738|1213165|Special Night|양파|3854
42|3982|85108|바보|박효신|1191
43|355804|1698077|기억이란 사랑보다|이문세|43
44|2618|23345|미쓰코리아|자우림|100094
45|2075|6763|No. 1|2001 대한민국(大韓民國)|2075
47|51|3680|너를 위해|임재범|4838
48|2007604|3526118|마지막 시간|박정현|1099
49|2080|7148|환상 속의 그대 (2000-2001 live)|서태지|1868
50|2047|7180|Heaven|이정현|3895
