rank|album_id|song_id|song_title|artist_name|artist_id
1|10937474|34997078|That That (prod. & feat. SUGA of BTS)|싸이 (PSY)|3865
2|10890384|34754292|TOMBOY|(여자)아이들|2137482
3|10909179|34847378|LOVE DIVE|IVE (아이브)|3055146
4|10908834|34845949|봄여름가을겨울 (Still Life)|BIGBANG (빅뱅)|198094
5|10871162|34657844|사랑인가 봐|멜로망스|839732
6|10925762|34927767|정이라고 하자 (Feat. 10CM)|BIG Naughty (서동현)|2744750
7|10894554|34772475|Feel My Rhythm|Red Velvet (레드벨벳)|780066
8|10929486|34943312|나의 X에게|경서|994005
9|10916904|34875621|LOVE me|BE'O (비오)|2758756
10|10889981|34752700|GANADARA (Feat. 아이유)|박재범|443420
11|10816959|34431086|취중고백|김민석|839736
12|10918269|34883833|ZOOM|제시 (Jessi)|176393
13|10735654|34061322|사랑은 늘 도망가|임영웅|994944
14|10863559|34626109|INVU|태연 (TAEYEON)|236797
15|10880544|34701627|듣고 싶을까|MSG워너비(M.O.M)|2939212
16|10607796|33480898|신호등|이무진|2138620
17|10798794|34349913|ELEVEN|IVE (아이브)|3055146
18|10610525|33496587|다정히 내 이름을 부르면|경서예지|2863470
19|10939458|35009233|FEARLESS|LE SSERAFIM (르세라핌)|3092950
20|10890384|34754299|MY BAG|(여자)아이들|2137482
21|10646395|33658563|STAY|The Kid LAROI|2743730
22|10923444|34908740|우리들의 블루스|임영웅|994944
23|10844485|34864406|That's Hilarious|Charlie Puth|838654
24|10842611|34538515|SMILEY (Feat. BIBI)|YENA (최예나)|2399724
25|10716399|33978183|너를 생각해|주시크 (Joosiq)|2880487
26|10775252|34256568|회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)|sokodomo|2561475
27|10857681|34599917|언제나 사랑해|케이시 (Kassy)|858125
28|10923444|35008524|다시 만날 수 있을까|임영웅|994944
29|10609232|33487342|Next Level|aespa|2899555
30|10926502|34930369|Seoul|볼빨간사춘기|792022
31|10645654|33655994|Weekend|태연 (TAEYEON)|236797
32|10873811|34668619|RUN2U|STAYC(스테이씨)|2899290
33|10827816|34481680|드라마|아이유|261143
34|10784974|34298499|리무진 (Feat. MINO) (Prod. GRAY)|BE'O (비오)|2758756
35|10937474|34997079|Celeb|싸이 (PSY)|3865
36|10743453|34101563|strawberry moon|아이유|261143
37|10479150|32872978|Dynamite|방탄소년단|672375
38|10903658|34817660|아무래도 난|주시크 (Joosiq)|2880487
39|2232505|4446485|너의 모든 순간|성시경|3305
40|10412319|32508053|이제 나만 믿어요|임영웅|994944
41|10897407|34787226|내가 아니라도|주호|683631
42|1286252|3414749|내 손을 잡아|아이유|261143
43|10612483|33507137|Butter|방탄소년단|672375
44|10842005|34535898|호랑수월가|탑현|2893700
45|10830791|34494149|Step Back|GOT the beat|3063272
46|10554246|33372781|라일락|아이유|261143
47|10447520|32698101|OHAYO MY NIGHT|디핵 (D-Hack)|785501
48|10810162|34398735|Counting Stars (Feat. Beenzino)|BE'O (비오)|2758756
49|10638275|33625988|바라만 본다|MSG워너비(M.O.M)|2939212
50|10801677|34360855|눈이 오잖아(Feat.헤이즈)|이무진|2138620
