rank|album_id|song_id|song_title|artist_name|artist_id
1|33910|511798|어쩌다..|윤건|14801
2|32695|485716|정말 사랑했을까|브라운 아이드 소울|107728
3|32940|490059|태양을 피하는 방법 (Gtr.Remix)|비|17671
4|32544|482651|다시 만난 날|휘성 (Realslow)|10577
5|32840|488135|애송이 (CF - 써니텐)|렉시|7664
6|33160|494792|정상을 향한 독주 2 (Feat. 김범수)|주석|4326
7|32949|490173|차마...|성시경|3305
8|33012|492268|Music|바다 (BADA)|1605
9|32952|490201|잊었니|현승민-H|8054
10|33244|496567|오래오래|바이브|160080
11|33271|497093|기도 (Last Pray)|장나라|10575
12|32858|488425|알아요|KCM|45995
13|32693|485687|사랑하기 때문에|왁스|2267
14|32552|482795|여전히 입술을 깨물죠|이수영|995
15|33175|495147|Think About' Chu|아소토 유니온|106851
16|32843|488158|아직은 사랑할 때|조장혁|5973
17|32783|487292|사랑했어요|이기찬|6225
18|33843|510795|Piece Of My Wish|해이|3310
19|33238|496453|마지막 돈키호테|조규찬|525
20|33131|494207|Come On|거북이|101463
21|32946|490105|Double|보아 (BoA)|2165
22|32679|485444|Love Letter (언약)|투샤이|107724
23|32393|480367|내일 해|이정(J.Lee)|39256
24|33029|492481|She's Mine|박효신|1191
25|32961|490332|떠나버려|BMK|36142
26|32681|485458|인형의 꿈|러브홀릭|106718
27|32808|487702|기억이... 눈물이... (Vocal : 조대연)|정지찬|8545
28|515351|2101649|만취 In Melody|은지원|1682
29|33000|492075|Can You Tell Me...?|박화요비|2017
30|32654|484862|달빛소년|체리필터 (cherryfilter)|101491
31|32657|484910|미소|백지영|1118
32|32405|480667|Chiki Chiki-Love Song|여행스케치|100712
33|32463|481205|Hey Girl|이효리|1713
34|30724|445414|가끔씩 눈물이 나죠|팀|33614
35|33018|492346|Ghost School|이브|100126
36|32584|483377|내 안의 그대|서영은|3033
37|32015|473441|습관|플라이 투 더 스카이|100183
38|32477|481446|Oasis|김경호|895
39|32856|488408|다만...|Chrischan|3869
40|33232|496377|Without You|원타임|100001
41|32210|476521|사랑할 거야|YB (윤도현 밴드)|100168
42|32752|486743|I Swear|S (강타, 신혜성, 이지훈)|107744
43|317309|1183921|돌아와 제발|JK 김동욱|20379
44|32557|482907|난 너에게 (To You)|샤크라|100068
45|27516|420534|체념|빅마마|105803
46|32754|486764|스웨터||102776
47|31187|455209|아직 못다한 이야기 (Feat. BMK)|김진표|1136
48|40235|608101|Be My Love|쥬얼리|101487
49|31739|466093|고양이|넬 (NELL)|101094
50|31697|465289|잔소리|박혜경|1790
