rank|album_id|song_id|song_title|artist_name|artist_id
1|744962|2511561|우리 사랑하게 됐어요.|가인|428821
2|759051|2529931|Change (Feat. 용준형 From Beast)|현아|449401
3|723759|2366796|너 때문에|애프터스쿨|322666
4|727252|2371262|Bo Peep Bo Peep|티아라|412000
5|741853|2425271|오늘 헤어졌어요|윤하 (YOUNHA)|203912
6|750153|2517998|처음처럼 그때처럼 (Feat. 강민경 From Davichi)|이승기|58793
7|763251|2534748|원더우먼|씨야|181679
8|727252|2371261|처음처럼|티아라|412000
9|741758|2425149|술 한잔 해요|지아|227595
10|765652|2537461|Tik Tok|2PM|259822
11|711451|2352749|Heartbeat|2PM|259822
12|690954|2320882|Mystery|비스트|436981
13|719553|2361466|Please Don't Go|CL|441844
14|745452|2512058|Love Story|쥬얼리|101487
15|741259|2388945|싸이렌 (Siren) (Feat. 미스터타이푼)|은지원|1682
16|706753|2338186|YOU AND I|박봄 (Park Bom)|439341
17|715463|2349352|만만하니|유키스|259928
18|763457|2535055|낙인|임재범|4838
19|729754|2374593|No Love No More|박진영|1130
20|704452|2335459|사랑 참...|디셈버|439021
21|744964|2511579|그대라서|거미 (GUMMY)|30358
22|753752|2523763|그녀처럼|지아|227595
23|743331|2507672|넌 나를 왜 (Feat. 정엽)|길미|14490
24|707651|2339048|Sign|브라운아이드걸스|181694
25|763953|2535554|사랑하면 안 되니|김남길|450241
26|711451|2343748|기다리다 지친다|2PM|259822
27|737351|2384348|사랑하면 안되나요|서인영|26265
28|689751|2319548|잊지 말아요|백지영|1118
29|691052|2326351|JoJo|SHINee (샤이니)|247639
30|744956|2511470|사랑합니다|SG 워너비|108363
31|703853|2334774|그 놈 목소리|씨야|181679
32|718505|2354532|마쉬멜로우|아이유|261143
33|749855|2517654|눈 내리는 마을|애프터스쿨|322666
34|765653|2537463|사랑이 그렇습니다|가비엔제이|174997
35|701153|2331974|못된 여자 II (With 서인영)|원투|106928
36|712753|2345593|Chu~♡|f(x)|428501
37|714152|2347151|그립고 그립고 그립다|케이윌|175139
38|765757|2537575|첫사랑이죠|아이유|261143
39|746756|2513619|Ghost (고스트)|박화요비|2017
40|718422|2353708|꿈을 꾸다 (Main Ver.)|김태우|182430
41|719026|2359820|사랑경보 (Feat. 주희 Of 에이트)|H-유진|198032
42|718853|2357924|마법의 성|MC 스나이퍼|7560
43|741254|2388877|내 여자 (Feat. 슈프림팀)|브라이언|1929
44|733756|2379811|돌아올순 없나요|디셈버|439021
45|691052|2320988|Ring Ding Dong|SHINee (샤이니)|247639
46|705159|2336218|부른다|서인국|436700
47|704452|2335458|여자는 나쁜남자를 좋아한다|디셈버|439021
48|682952|2312253|헤어지지 못하는 여자, 떠나가지 못하는 남자 (Feat. 정인)|리쌍|103289
49|732462|2378354|My Color|2PM|259822
50|743422|2508682|사랑눈 (Feat. 드로플렛, 슬라임)|김태우|182430
