rank|album_id|song_id|song_title|artist_name|artist_id
1|10044814|30310862|얼굴 찌푸리지 말아요|하이라이트 (HIGHLIGHT)|1624993
2|10040060|30261007|KNOCK KNOCK|TWICE (트와이스)|905701
3|10029181|30190630|첫눈처럼 너에게 가겠다|에일리(Ailee)|629831
4|10043982|30290011|부담이 돼 (Feat. 휘인 Of 마마무)|정키|570731
5|10040265|30278209|Fine|태연 (TAEYEON)|236797
6|10047890|30314784|밤편지|아이유|261143
7|2271467|4786735|Marry Me|마크툽 (MAKTUB)|566431
8|10024816|30163110|좋다고 말해|볼빨간사춘기|792022
9|10035026|30227054|Rookie|Red Velvet (레드벨벳)|780066
10|10027786|30181278|오랜 날 오랜 밤|AKMU (악뮤)|712452
11|10024106|30157753|Beautiful|Crush|674710
12|10036123|30232778|YESTERDAY|블락비 (Block B)|532201
13|10037969|30244931|봄날|방탄소년단|672375
14|10038305|30247520|비가와 (Rain)|소유 (SOYOU)|490981
15|10041603|30286429|MOVIE|비투비|647971
16|2306170|5605860|오빠야|신현희와김루트|724318
17|10035027|30227061|노래|Zion.T|537920
18|10020654|30132687|Stay With Me|찬열 (CHANYEOL)|672857
19|10043312|30285450|FINGERTIP|여자친구 (GFRIEND)|828478
20|10044814|30294629|아름답다|하이라이트 (HIGHLIGHT)|1624993
21|2707131|9620469|우주를 줄게|볼빨간사춘기|792022
22|10035799|30230986|우리집을 못 찾겠군요 (Feat. 볼빨간사춘기)|매드클라운|219621
23|10022709|30147445|에라 모르겠다|BIGBANG (빅뱅)|198094
24|10008861|30054344|TT|TWICE (트와이스)|905701
25|2707131|9620473|나만 안되는 연애|볼빨간사춘기|792022
26|10012900|30079086|Decalcomanie (데칼코마니)|마마무 (Mamamoo)|750053
27|2680986|8155478|심술|볼빨간사춘기|792022
28|2097226|3753304|벚꽃 엔딩|버스커 버스커|569233
29|10027253|30177818|I Miss You|소유 (SOYOU)|490981
30|10011491|30069773|불장난|BLACKPINK|995169
31|10047213|30310702|그리워요 (Girlfriend)|헨리 (HENRY)|710006
32|10025845|30169608|이쁘다니까|에디킴|601979
33|2698920|8276708|마에스트로 (Maestro)|창모 (CHANGMO)|774900
34|2706226|9614761|그대라는 사치|한동근|711476
35|10033099|30215199|기다렸다 가|다이나믹 듀오|108358
36|10039617|30257703|넘어와 (Feat. 백예린)|DEAN|880630
37|10027428|30179089|당신의 밤 (Feat. 오혁)|황광희 X 개코|1285544
38|2284064|5398990|이 소설의 끝을 다시 써보려 해|한동근|711476
39|10020656|30132701|저 별|헤이즈 (Heize)|751611
40|2707131|9620471|You(=I)|볼빨간사춘기|792022
41|10008163|30049271|All I Wanna Do (K) (Feat. Hoody, Loco)|박재범|443420
42|10041603|30272285|언젠가 (SOMEDAY)|비투비|647971
43|2248659|4579468|봄 사랑 벚꽃 말고|HIGH4 (하이포)|767374
44|10047197|30310624|Bunzi (번지)|기리보이|585492
45|10035027|30227065|Complex (feat. G-DRAGON)|Zion.T|537920
46|10027400|30178900|첫 눈|정준일|242988
47|2708957|9631530|내가 저지른 사랑|임창정|1142
48|2679308|8143111|돌아오지마 (Feat. 용준형 Of 비스트)|헤이즈 (Heize)|751611
49|10025804|30169383|Who Are You|샘김 (Sam Kim)|757273
50|10045693|30301700|바램|정준일|242988
