rank|album_id|song_id|song_title|artist_name|artist_id
1|2638798|7861392|또 다시 사랑|임창정|1142
2|2640915|7858908|바람이나 좀 쐐 (Feat. 우혜미)|개리|1732
3|2640930|7858989|어깨|소유 (SOYOU)|490981
4|2640151|7854179|취향저격|iKON|895741
5|2641140|7860122|보통연애 (Feat. 박보람)|박경|650832
6|2335950|5826461|레옹|이유 갓지(GOD G) 않은 이유 (박명수, 아이유)|889388
7|2336184|5826447|겁 (Feat. 태양)|MINO (송민호)|742773
8|2641732|7863752|커피 (Prod. by G-Park 박명수)|UL (유엘)|680551
9|2639273|7847861|Dumb Dumb|Red Velvet (레드벨벳)|780066
10|2330981|5791706|오늘부터 우리는 (Me Gustas Tu)|여자친구 (GFRIEND)|828478
11|2639984|7852842|그렇게 됐어|플라이 투 더 스카이|100183
12|2337492|5835766|Okey Dokey|MINO (송민호)|742773
13|2335950|5824839|맙소사|황태지 (황광희, 태양, 지드래곤)|889387
14|2335204|5820368|Lion Heart|소녀시대 (GIRLS' GENERATION)|228069
15|2334942|5818522|오빠차|인크레더블|858852
16|2640151|7870705|리듬 타 (RHYTHM TA)|iKON|895741
17|2282505|5385974|위잉위잉|혁오 (HYUKOH)|785589
18|2335950|5826462|스폰서 ($ponsor)|으뜨거따시 (하하, 자이언티)|889389
19|2282942|5389475|양화대교|Zion.T|537920
20|2642436|7868989|너나 잘해|에일리(Ailee)|629831
21|2332701|5804040|거북선 (Feat. 팔로알토)|Ja Mezz|743761
22|2333193|5807274|우리 사랑하지 말아요|BIGBANG (빅뱅)|198094
23|2334436|5815785|사이먼 도미닉|사이먼 도미닉|428847
24|2321510|5719286|뱅뱅뱅 (BANG BANG BANG)|BIGBANG (빅뱅)|198094
25|2335950|5826465|멋진헛간|오대천왕 (정형돈, 밴드 혁오)|889392
26|2642396|7868801|Me, Myself & I (Prod. by 버벌진트) (Feat. 제시, 휘성)|헤이즈 (Heize)|751611
27|2324685|5743804|음오아예 (Um Oh Ah Yeh)|마마무 (Mamamoo)|750053
28|2335653|5822923|가슴 뛰도록|SG 워너비|108363
29|2335950|5826464|I'm So Sexy|댄싱게놈 (유재석, JYP)|889391
30|2319508|5704397|이럴거면 그러지말지 (Feat. Young K)|백아연|646173
31|2320721|5713422|와리가리|혁오 (HYUKOH)|785589
32|2325321|5748406|심쿵해 (Heart Attack)|AOA|686920
33|2319240|5702706|꺼내 먹어요|Zion.T|537920
34|2266865|4743560|Lost Stars|Adam Levine|14417
35|2642181|7866804|내가 그댈|린|8530
36|2640151|7870707|AIRPLANE|iKON|895741
37|2641112|7859960|음악이 아니었다면 (Prod. by 버벌진트) (Feat. 치타, 버벌진트)|트루디 (Truedy)|896141
38|2641976|7865089|가끔|지아|227595
39|2640915|7859965|엉덩이 (Feat. 박재범)|개리|1732
40|2333193|5807273|쩔어 (GD & T.O.P)|BIGBANG (빅뱅)|198094
41|2325345|5748499|SHAKE IT|씨스타|473181
42|2326937|5760115|IF YOU|BIGBANG (빅뱅)|198094
43|2327886|5771304|Oasis (Feat. ZICO)|Crush|674710
44|2314734|5668985|그 남잔 말야|엠씨더맥스 (M.C the MAX)|161636
45|2640434|7855597|Girl Crush|마마무 (Mamamoo)|750053
46|2332752|5804238|I Feel You|원더걸스|217764
47|2279275|4857981|Sugar|Maroon 5|107721
48|2329610|5781104|Remember|Apink (에이핑크)|534360
49|2333883|5824767|잘나가서 그래 (Feat. 정일훈 Of BTOB)|현아|449401
50|2639924|7852464|언프리티 랩스타 (Don't Stop) (Prod. By D.O)|언프리티 랩스타 2|896110
